mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07685108184814453,0.0126916344585907,0.00625004768371582,0.007654713909332995,squared_error,10,2,2,20,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 20}",-10.882948715446219,-5.834224799749682,-6.145437511377155,-5.025616306185096,-7.908403689340193,-7.159326204419669,2.0862916204308806,16
0.4146289348602295,0.029904344446072196,0.01627006530761719,0.0009927359430411584,squared_error,10,2,2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 100}",-10.824040532898623,-5.604119279837007,-5.88705414275383,-5.007407667297959,-7.688250385279564,-7.002174401613397,2.1097159344520438,6
0.09572787284851074,0.015079048621623627,0.0040816783905029295,0.006561593084261812,squared_error,10,2,8,20,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 20}",-10.541188585800626,-5.732978351804474,-5.927549416359484,-5.065735879761814,-7.759642463575,-7.005418939460279,1.980595781391769,8
0.4047081470489502,0.02450684834541901,0.009764337539672851,0.008004360005959974,squared_error,10,2,8,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 100}",-10.428131506820211,-5.644334538389585,-5.943481304968528,-4.9817459666206565,-7.875839133446033,-6.9747064900490034,1.9770377309250866,4
0.09700522422790528,0.015527201159758948,0.0031438827514648437,0.006287765502929687,squared_error,10,3,2,20,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 20}",-11.030986756282086,-5.420996926364932,-5.784945925176857,-5.044939445422579,-7.862387535005942,-7.02885131765048,2.226219817563497,10
0.5519920825958252,0.03007566953924158,0.017713594436645507,0.0032479467431225377,squared_error,10,3,2,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 100}",-10.765669934019849,-5.408576455872947,-5.992492859025563,-5.022522837175803,-7.433879975037115,-6.924628412226255,2.0879766746259025,1
0.12119994163513184,0.009372813517672052,0.0006001472473144531,0.0012002944946289062,squared_error,10,3,8,20,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 20}",-10.945411710610642,-5.634360011060866,-5.8458936395497645,-5.061747648553444,-8.173364198272429,-7.13215544160943,2.182177263779716,15
0.5588225841522216,0.04652001327823003,0.00933060646057129,0.007667702370410345,squared_error,10,3,8,100,"{'criterion': 'squared_error', 'max_depth': 10, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 100}",-10.71773615756232,-5.512719547023539,-5.932194568621427,-4.995442663919376,-7.599664009513521,-6.951551389328037,2.0755666417098704,3
0.1156343936920166,0.012493439981291396,0.0,0.0,squared_error,20,2,2,20,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 20}",-10.721068215445722,-5.658467926423878,-6.073322052504737,-4.982580055973882,-7.880779747844883,-7.0632435996386205,2.0654561925685906,13
0.6494877815246582,0.03077744091233699,0.013409137725830078,0.005909316971088942,squared_error,20,2,2,100,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 2, 'min_samples_split': 2, 'n_estimators': 100}",-10.671403820303775,-5.647593732318199,-5.9412477605171,-5.0064249573625785,-8.04598170625097,-7.062530395350524,2.0725845680184563,12
0.10276427268981933,0.00550554515539407,0.000478363037109375,0.0009567260742187499,squared_error,20,2,8,20,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 20}",-10.69067703933958,-5.682356129974156,-6.063157392667184,-5.044897702685343,-7.535859187650248,-7.003389490463301,2.0171499233604537,7
0.45433635711669923,0.04322019673056745,0.0059105873107910155,0.007383998655986624,squared_error,20,2,8,100,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 2, 'min_samples_split': 8, 'n_estimators': 100}",-10.439495406236105,-5.559446683921879,-6.042859698432863,-5.018794925216445,-7.594969255863345,-6.931113193934128,1.953298495693266,2
0.14341835975646972,0.012245141488128594,0.0041255950927734375,0.006070339818669924,squared_error,20,3,2,20,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 20}",-11.076410922457763,-5.774180886119496,-5.970427501481732,-5.022220031336352,-7.66277329775721,-7.1012025278305115,2.1670002459097044,14
0.7266494274139405,0.04376818242605261,0.012647581100463868,0.011732413944844667,squared_error,20,3,2,100,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 3, 'min_samples_split': 2, 'n_estimators': 100}",-10.94768166214071,-5.629661501004588,-5.962944712035538,-5.013402498743329,-7.4885975692537805,-7.008457588635589,2.1317805393791547,9
0.1411862850189209,0.007535136707598555,0.0053542137145996095,0.005746542197665645,squared_error,20,3,8,20,"{'criterion': 'squared_error', 'max_depth': 20, 'max_features': 3, 'min_samples_split': 8, 'n_estimators': 20}",-10.87309684819486,-5.533843255315672,-6.026577875216236,-5.029541385633995,-7.4826050147315275,-6.989132875818458,2.107750920186357,5
