mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009383869171142579,0.0076620088186004276,0.0,0.0,mse,2,sqrt,best,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'best'}",-14.131547217164165,-9.610774817386206,-6.725382092186185,-7.088130567574541,-10.972413555159338,-9.705649649894088,2.7179279667911236,165
0.0062581062316894535,0.007664593977865426,0.0,0.0,mse,2,sqrt,random,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'random'}",-12.937793396596813,-8.373613827194642,-7.9342334401784385,-8.055788204524989,-12.977119023672884,-10.055709578433554,2.3736399434198203,173
0.0031249523162841797,0.006249904632568359,0.0031253337860107423,0.0062506675720214845,mse,2,log2,best,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'best'}",-13.427953326694361,-9.08693837371079,-7.331011756576796,-7.761056041802397,-9.759651725838287,-9.473322244924526,2.1629486281145685,157
0.006248664855957031,0.007653020615670314,0.0031226158142089845,0.006245231628417969,mse,2,log2,random,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'random'}",-14.238192917229426,-7.915527502247074,-7.109011436628087,-7.031974231473797,-9.513692712073155,-9.161679759930308,2.690609123877453,139
0.006250715255737305,0.007655531808771562,0.0,0.0,mse,2,2,best,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 2, 'splitter': 'best'}",-13.829571551134789,-9.104601987181729,-7.476768794357209,-7.761056041802362,-10.723517909362737,-9.779103256767765,2.3292240313466923,169
0.0031256675720214844,0.006251335144042969,0.003123950958251953,0.006247901916503906,mse,2,2,random,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 2, 'splitter': 'random'}",-13.933296377772425,-7.894777291814924,-7.596150601527034,-6.985662810992895,-13.174839209448553,-9.916945258311165,2.993747391524302,172
0.01249833106994629,0.006249166749083181,0.0,0.0,mse,5,sqrt,best,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'best'}",-14.003447865975389,-8.962580598735737,-6.4936895065194395,-8.023978341477898,-8.568174790537627,-9.210374220649218,2.5391056604528313,142
0.0031250476837158202,0.006250095367431641,0.0,0.0,mse,5,sqrt,random,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'random'}",-12.980717691263612,-10.535407764256908,-6.767076349232883,-6.884851247077118,-9.424952920985636,-9.318601194563232,2.3382234280065926,145
0.0031281471252441405,0.006256294250488281,0.006243991851806641,0.007647297051029652,mse,5,log2,best,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'best'}",-11.078847770724158,-6.99656182049393,-6.450924860273007,-6.670275125902644,-8.952863892113,-8.029894693901348,1.7639430227744015,14
0.0031249523162841797,0.006249904632568359,0.0031263351440429686,0.006252670288085937,mse,5,log2,random,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'random'}",-13.126425843520328,-9.510465156201183,-8.843125357715186,-7.1588367468394924,-9.623020333374807,-9.652374687530198,1.9474417766442391,162
0.006250572204589844,0.007655356304296485,0.0031241416931152345,0.006248283386230469,mse,5,2,best,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 2, 'splitter': 'best'}",-11.892185800710525,-8.0848485189401,-6.214438244734463,-6.927103249310539,-10.795447882176603,-8.782804739174447,2.2021017397714258,113
0.006249141693115234,0.007653605403797798,0.0,0.0,mse,5,2,random,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 2, 'splitter': 'random'}",-13.66582232224948,-9.400730681774064,-7.785886121861122,-5.784920494291632,-11.716561260171753,-9.67078417606961,2.788233841885255,163
0.003124856948852539,0.006249713897705078,0.01249995231628418,0.006249979540337499,mse,10,sqrt,best,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'best'}",-11.681216513006502,-7.226477871452156,-7.292146752419226,-6.60858053089279,-8.391006352323855,-8.239885604018905,1.8139435664091763,41
0.0,0.0,0.006247663497924804,0.007651797467731868,mse,10,sqrt,random,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'random'}",-14.311528440859538,-7.305796322782684,-6.03565375134698,-6.191321234835654,-9.028956262045531,-8.574651202374078,3.0612061685762804,84
0.015623712539672851,1.1543005406294064e-06,0.0,0.0,mse,10,log2,best,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'best'}",-11.732219662421606,-7.472703488756832,-6.820945802617457,-5.313618634233408,-10.612302775451274,-8.390358072696115,2.4031873638180747,58
0.0,0.0,0.009372758865356445,0.007652845126694522,mse,10,log2,random,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'random'}",-10.816862664747017,-7.347318627820475,-6.917908981941341,-5.018528830041561,-8.03592835917409,-7.627309492744897,1.882955088699409,3
0.0031213283538818358,0.0062426567077636715,0.0062500953674316405,0.007654772676186073,mse,10,2,best,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 2, 'splitter': 'best'}",-12.995595020483202,-7.6282807702021636,-7.173467226781346,-5.642458238468586,-9.629101737136184,-8.613780598614296,2.5339946223625156,87
0.006250143051147461,0.007654830843769652,0.003122234344482422,0.006244468688964844,mse,10,2,random,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 2, 'splitter': 'random'}",-11.322754973422997,-8.223917581333247,-5.966551381950372,-7.050019654682406,-6.103801759315385,-7.73340907014088,1.9681681728924871,6
0.015622520446777343,7.751500981914955e-06,0.0,0.0,mse,20,sqrt,best,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'best'}",-11.732737338615717,-6.955226565711616,-7.362332118283383,-6.8916342989484445,-8.216900325840356,-8.231766129479904,1.8131984160709127,39
0.006249809265136718,0.007654423093741897,0.003128194808959961,0.006256389617919923,mse,20,sqrt,random,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'random'}",-12.909670417402152,-8.353341676917612,-6.831084535730261,-6.620302923326977,-9.38962443568682,-8.820804797812764,2.283072264552546,121
0.015619611740112305,5.856756156556801e-06,0.0062522411346435545,0.0076574008882891904,mse,20,log2,best,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'best'}",-11.64232559909924,-6.9592075124547055,-7.279436200267587,-6.896583550609677,-6.874810389103331,-7.930472650306908,1.8616340253093455,10
0.009372091293334961,0.0076522816282325766,0.0031253814697265623,0.006250762939453125,mse,20,log2,random,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'random'}",-11.270133905744643,-7.268339394666627,-9.828526517382763,-6.587861825096148,-10.664750307712927,-9.123922390120622,1.8628812608469771,135
0.018748140335083006,0.006253435312774107,0.0031270980834960938,0.0062541961669921875,mse,20,2,best,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 2, 'splitter': 'best'}",-12.419424390644206,-6.9814951637151275,-6.7731607276233055,-5.914414458276706,-9.292799576912635,-8.276258863434396,2.35428127657605,45
