mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005591011047363282,0.0019477717125650077,0.0017570018768310546,0.000740183779685608,mse,2,sqrt,best,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'best'}",-14.657269654742896,-9.10460198718174,-7.620205637005156,-7.323613009035418,-11.791563989892808,-10.099450855571604,2.7741166500493595,173
0.0014708995819091796,0.0011384311904357274,0.0012038707733154296,0.00041815031739464176,mse,2,sqrt,random,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'sqrt', 'splitter': 'random'}",-16.648431263899663,-8.107428365934547,-6.503999830769584,-6.824463418693215,-12.658322511198978,-10.148529078099198,3.925452574205593,174
0.003582000732421875,0.001020883778592954,0.002002859115600586,0.0008780700833688588,mse,2,log2,best,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'best'}",-15.820955919275805,-9.08693837371082,-7.331011756576795,-7.321718379792363,-11.479745935643999,-10.208074072999956,3.193339128968553,176
0.002178955078125,0.0011692789615808372,0.0018414974212646485,0.0007634226103597887,mse,2,log2,random,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 'log2', 'splitter': 'random'}",-16.413843882398304,-8.076612200942849,-7.838769560239625,-7.207140070309458,-12.890240019093753,-10.485321146596798,3.5912004083665074,179
0.003978300094604492,0.00048223198381041417,0.0013193607330322266,0.0005327077478408027,mse,2,2,best,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 2, 'splitter': 'best'}",-13.420472965102817,-9.90075405570248,-7.240721139961129,-7.761056041802362,-10.03192590150675,-9.670986020815107,2.181547304486314,164
0.0025316715240478516,0.000892365402950839,0.0019099712371826172,0.0005109282225168934,mse,2,2,random,"{'criterion': 'mse', 'max_depth': 2, 'max_features': 2, 'splitter': 'random'}",-14.638274622183687,-9.036524336037127,-7.404597915368718,-6.91400534256719,-10.340144080380451,-9.666709259307435,2.7662840142948104,163
0.0075832843780517575,0.0019609912483881586,0.0032570362091064453,0.0011933888162492952,mse,5,sqrt,best,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'best'}",-10.920597785680084,-8.264771795616296,-6.519905612753484,-5.82413108706231,-9.366978538062227,-8.17927696383488,1.856502605741993,33
0.0035900115966796876,0.0008841613621466203,0.0019402027130126954,0.00013415442063821582,mse,5,sqrt,random,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'sqrt', 'splitter': 'random'}",-10.063637423714805,-8.559787725557355,-7.898147766534652,-8.162245076120685,-10.61811238777827,-9.060386075941153,1.0808402639813979,143
0.005343866348266601,0.0017384431281963636,0.0017165184020996095,0.0006465990563985535,mse,5,log2,best,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'best'}",-13.426083976856743,-7.982287777092376,-6.5563499558440945,-7.139525827696828,-9.568403163214018,-8.934530140140811,2.464158999178247,131
0.0029238224029541015,0.0005549505662323639,0.001737833023071289,0.0003951126614349307,mse,5,log2,random,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 'log2', 'splitter': 'random'}",-13.867105847096088,-10.010987396314013,-6.398331171092067,-6.887367133824818,-8.38439058879675,-9.109636427424746,2.693012713708094,145
0.003293895721435547,0.0003489549774017096,0.0009981155395507812,0.0005334827743876925,mse,5,2,best,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 2, 'splitter': 'best'}",-12.292898285502915,-8.145410899293656,-6.843407672147292,-6.985340445640314,-9.562347017695902,-8.765880864056015,2.016205374334457,118
0.0019797325134277345,0.00022382670176099425,0.0004129886627197266,0.0005065785741660263,mse,5,2,random,"{'criterion': 'mse', 'max_depth': 5, 'max_features': 2, 'splitter': 'random'}",-11.64154919474926,-7.865297475183994,-6.931869589325919,-6.578857010226851,-9.591276882471686,-8.521770030391542,1.8767268087376912,87
0.008291196823120118,0.0024962374150643827,0.0018405914306640625,0.00035398590236337583,mse,10,sqrt,best,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'best'}",-12.739385029601626,-6.896210384174689,-6.810578487819278,-6.364470938075468,-7.250757513401343,-8.012280470614481,2.3803533802688115,16
0.004073572158813476,0.000670904516728688,0.0018761157989501953,0.00032934714831354343,mse,10,sqrt,random,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'sqrt', 'splitter': 'random'}",-10.990474325597189,-8.148591130544817,-7.131427359546094,-7.263114909868784,-6.6535589928620515,-8.037433343683787,1.5535978368639178,19
0.011014270782470702,0.004053187056645138,0.002832794189453125,0.001098575054494889,mse,10,log2,best,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'best'}",-10.007139304936489,-7.068770095472659,-6.393791047321507,-7.494851575239654,-7.283526093550209,-7.649615623304103,1.2353435357559368,3
0.004011631011962891,0.0023177980052004874,0.0013948440551757812,0.000489031659299025,mse,10,log2,random,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 'log2', 'splitter': 'random'}",-12.787877070943331,-8.131626440850454,-6.4688208459134655,-7.141420784646361,-6.455023460421031,-8.196953720554928,2.375531894333963,34
0.005793476104736328,0.0013220174176450995,0.0009996891021728516,3.26555131306914e-06,mse,10,2,best,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 2, 'splitter': 'best'}",-12.653105901797655,-6.769132560753105,-6.986044674340161,-6.0489954976629905,-7.12186535026211,-7.915828796963204,2.3973589494642886,12
0.003493976593017578,0.0010987816629470717,0.0015281200408935546,0.0005874055440722183,mse,10,2,random,"{'criterion': 'mse', 'max_depth': 10, 'max_features': 2, 'splitter': 'random'}",-12.952164753379352,-8.560496378063737,-7.892982173071244,-6.973757887927289,-10.517419480793698,-9.379364134647066,2.131989276935217,159
0.011206960678100586,0.003499707052456327,0.0016545772552490235,0.0007126682750783175,mse,20,sqrt,best,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'best'}",-12.678454128156682,-8.094315208686185,-6.459214141893416,-6.382381318837944,-7.867812972899865,-8.296435554094817,2.3006800241458,49
0.006892776489257813,0.0013366221658621521,0.001931905746459961,0.0010868182303937523,mse,20,sqrt,random,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'sqrt', 'splitter': 'random'}",-10.850559543501486,-9.169994319852705,-8.0800503855507,-6.470439763438568,-9.266943316958383,-8.76759746586037,1.4491138686411698,119
0.009031391143798828,0.0014824064671069826,0.0013794898986816406,0.0004681928297398466,mse,20,log2,best,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'best'}",-12.176731621904128,-7.321859449903589,-8.216906070049284,-6.832243160226756,-8.781870259524018,-8.665922112321555,1.8820056180306433,108
0.004296875,0.000685474927813416,0.002092409133911133,0.0005690866078975232,mse,20,log2,random,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 'log2', 'splitter': 'random'}",-12.151990753726185,-8.327229113109876,-6.863841110661393,-8.606693059862245,-9.803698833321588,-9.150690574136258,1.7684979556956277,147
0.009271717071533203,0.001176865189325756,0.002322530746459961,0.000978474770360693,mse,20,2,best,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 2, 'splitter': 'best'}",-12.428653990948291,-6.76779575403303,-7.362428398657619,-6.013904574957295,-8.664993549471616,-8.247555253613571,2.2635447626417977,40
0.007616424560546875,0.0008991406965816138,0.003577709197998047,0.0009335826051703163,mse,20,2,random,"{'criterion': 'mse', 'max_depth': 20, 'max_features': 2, 'splitter': 'random'}",-10.298491663012598,-6.615998354489173,-6.863185192088543,-6.717448254591568,-9.844545655207423,-8.06793382387786,1.6440854612132128,22
0.011086463928222656,0.0017732851719440429,0.0020198822021484375,0.0010767026217790466,mse,30,sqrt,best,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'sqrt', 'splitter': 'best'}",-11.401012012188117,-7.620141756649892,-7.065192877672738,-6.733122788767518,-7.308052475885707,-8.025504382232794,1.7126328401000244,17
0.006343030929565429,0.0011071036341051786,0.0017405509948730468,0.000433218081420246,mse,30,sqrt,random,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'sqrt', 'splitter': 'random'}",-10.497053335803779,-7.4582461927699,-7.24584627632698,-6.776215919560009,-9.4190255937262,-8.279277463637374,1.4296028813021255,44
0.01338052749633789,0.0034011494013905853,0.0024811744689941405,0.0005011966708662666,mse,30,log2,best,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'log2', 'splitter': 'best'}",-11.015942088488101,-7.750689133134006,-8.968920888828926,-6.973565810807192,-7.880659558029555,-8.517955495857557,1.4016625903297015,86
0.007942104339599609,0.0012393959873304595,0.0023456096649169924,0.0005640582790308771,mse,30,log2,random,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 'log2', 'splitter': 'random'}",-12.001823366338165,-7.355865854333202,-6.982145221419211,-6.634353991688769,-10.055276826859577,-8.605893052127785,2.0841855630064483,99
0.01397862434387207,0.0025651391552519655,0.0022990226745605467,0.0005366614294808082,mse,30,2,best,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 2, 'splitter': 'best'}",-12.20357526220509,-7.035923978121037,-7.265851131194484,-6.589771972352672,-8.632146465775657,-8.345453761929788,2.04597765669865,54
0.007831096649169922,0.001854557622968589,0.002578115463256836,0.001014291107454288,mse,30,2,random,"{'criterion': 'mse', 'max_depth': 30, 'max_features': 2, 'splitter': 'random'}",-10.242693465342997,-7.7015476797599405,-7.712934652540278,-5.434353095356338,-8.809393950819688,-7.980184568763848,1.5771400464775955,13
0.011790132522583008,0.002829741419213207,0.0017006397247314453,0.0005710156924451001,mse,50,sqrt,best,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'splitter': 'best'}",-14.068804306846193,-8.407464794402694,-7.253880799506552,-5.918567244624408,-9.088876710837207,-8.947518771243411,2.7778467499874244,132
0.0067919731140136715,0.0010880541138773901,0.0021355152130126953,0.0006751784829916529,mse,50,sqrt,random,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'sqrt', 'splitter': 'random'}",-11.560202873451209,-7.760796291970185,-7.197994208062866,-6.964952232645174,-9.89321423513944,-8.675431968253774,1.7748249776533545,111
0.012458133697509765,0.0023831465287122203,0.0032707691192626954,0.001127626893079073,mse,50,log2,best,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'splitter': 'best'}",-11.818145346759254,-9.212230075810627,-6.506704020132375,-6.2317736049612895,-8.705244926342528,-8.494819594801216,2.0335895044189853,76
0.010266971588134766,0.0014617416633491182,0.003423929214477539,0.0011991230710722682,mse,50,log2,random,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 'log2', 'splitter': 'random'}",-11.627736560582546,-7.974717838538058,-7.645751259481728,-6.521718050830125,-9.453784236319542,-8.6447415891504,1.7610764579623461,105
0.01421494483947754,0.0026905066270988378,0.0024609088897705076,0.0010289523889872108,mse,50,2,best,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 2, 'splitter': 'best'}",-12.625469493161189,-7.833621555506231,-7.922675319617304,-6.599050862711358,-10.06480219316758,-9.009123884832732,2.124290019400985,138
0.0049227714538574215,0.0005618565294801631,0.0012366771697998047,0.0004913808881860124,mse,50,2,random,"{'criterion': 'mse', 'max_depth': 50, 'max_features': 2, 'splitter': 'random'}",-12.108021730821399,-7.723386235415385,-8.046286667919356,-6.333257598626785,-9.451109219711375,-8.73241229049886,1.9573507378588728,114
0.010369110107421874,0.0015966479189449927,0.0020627975463867188,0.0009645662358462854,mse,100,sqrt,best,"{'criterion': 'mse', 'max_depth': 100, 'max_features': 'sqrt', 'splitter': 'best'}",-12.508226617565004,-7.1734258317240265,-7.85256725282319,-5.997992250603314,-6.770651134123386,-8.060572617367784,2.3034781075028867,21
