mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09286327362060547,0.010259275703156559,0.001396322250366211,0.002792644500732421,0.05,linear,10,"{'learning_rate': 0.05, 'loss': 'linear', 'n_estimators': 10}",-12.514903907653359,-8.701239574513377,-6.382713160631844,-5.669410938916871,-9.962114605962565,-8.646076437535603,2.4773443943012525,143
0.20073351860046387,0.010893173104332621,0.009058475494384766,0.005942445746722092,0.05,linear,20,"{'learning_rate': 0.05, 'loss': 'linear', 'n_estimators': 20}",-12.68379803010701,-8.69151203372076,-6.369355762552963,-6.204297259972526,-11.363372261799059,-9.062467069630463,2.606445604284499,161
0.48585166931152346,0.04809657457232635,0.01562361717224121,3.416630576643535e-06,0.05,linear,50,"{'learning_rate': 0.05, 'loss': 'linear', 'n_estimators': 50}",-12.057598743388771,-8.645895095110067,-6.383594961580222,-5.767494878067192,-9.980859111137315,-8.567088557856712,2.314907689729252,135
1.0503015995025635,0.12477164815857075,0.03238754272460938,0.008881105762701555,0.05,linear,100,"{'learning_rate': 0.05, 'loss': 'linear', 'n_estimators': 100}",-12.0428346192287,-8.493089102660441,-6.36748148053579,-5.933342550499297,-9.951836331710501,-8.557716816926945,2.2706062264486278,131
3.024462938308716,0.11887179681958497,0.08237948417663574,0.007019317715841941,0.05,linear,250,"{'learning_rate': 0.05, 'loss': 'linear', 'n_estimators': 250}",-11.288347608902782,-8.07842051105541,-6.075798683658466,-6.069417532482058,-9.923253432914525,-8.287047553802648,2.075379551779678,97
0.09804320335388184,0.00589735493077963,0.007399368286132813,0.005450246666568293,0.05,square,10,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 10}",-12.516668577857345,-8.6555549049161,-6.377471765253585,-6.393981632926423,-9.897673103231515,-8.768269996836995,2.3104938610617083,151
0.3278939723968506,0.026536056419928327,0.00824270248413086,0.005590810971204766,0.05,square,20,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 20}",-12.735839276624791,-8.672533753039154,-6.420034856050873,-5.691994357824855,-11.432971315422709,-8.990674711792476,2.7415968096346712,158
0.7517354488372803,0.010589617792426186,0.021277904510498047,0.004400914731144277,0.05,square,50,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 50}",-12.082334297115553,-8.572169305266254,-6.35114365071427,-5.821739335053,-10.004130269154187,-8.566303371460654,2.318163859843887,134
1.49763822555542,0.07158720266416475,0.04125757217407226,0.007894950779784853,0.05,square,100,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 100}",-11.257210359130669,-8.307439351931281,-6.240010426825672,-6.193101422872395,-9.812922965702713,-8.362136905292546,1.9848102192980661,106
3.7016056537628175,0.12701920480575804,0.08525338172912597,0.010847788307372493,0.05,square,250,"{'learning_rate': 0.05, 'loss': 'square', 'n_estimators': 250}",-10.322758288296292,-7.877452187822032,-5.881036522474081,-6.800299329232382,-9.848281522432048,-8.145965570051366,1.71167326313227,83
0.1495800495147705,0.0034543398420559526,0.007317161560058594,0.0031790506955169406,0.05,exponential,10,"{'learning_rate': 0.05, 'loss': 'exponential', 'n_estimators': 10}",-12.643946624629779,-8.675576546430326,-6.348249809941134,-7.296761703797326,-10.019834492533224,-8.996873835466356,2.2070981342995375,159
0.3137312889099121,0.013637498659282798,0.00822763442993164,0.006191140220173355,0.05,exponential,20,"{'learning_rate': 0.05, 'loss': 'exponential', 'n_estimators': 20}",-12.33612416843293,-8.681440256205398,-6.372797098402861,-7.14693695493911,-11.457366500909671,-9.198932995777994,2.3412825950084093,163
0.9899284839630127,0.06573539104623097,0.026758670806884766,0.014827181255752926,0.05,exponential,50,"{'learning_rate': 0.05, 'loss': 'exponential', 'n_estimators': 50}",-12.508923394310424,-8.623176275699429,-6.381086565550748,-5.772462061275391,-10.316449816491875,-8.720419622665572,2.4928883814470875,147
1.68129563331604,0.16914765857221903,0.048032093048095706,0.012790487294484284,0.05,exponential,100,"{'learning_rate': 0.05, 'loss': 'exponential', 'n_estimators': 100}",-12.072850724019553,-8.612754016006164,-6.337453267567934,-5.7483911203507905,-9.990226852736866,-8.552335196136262,2.3337959109405633,130
3.8616300582885743,0.18316012311264754,0.085685396194458,0.008964724131195713,0.05,exponential,250,"{'learning_rate': 0.05, 'loss': 'exponential', 'n_estimators': 250}",-11.747939978927832,-8.282073660695223,-6.111128970423814,-5.949996793925687,-10.033227427246237,-8.424873366243759,2.241802552910517,114
0.21366357803344727,0.07200870311745257,0.015378379821777343,0.015107501077143114,0.1,linear,10,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 10}",-12.966078461163974,-8.684778927042721,-6.386897145623639,-6.4364939387284545,-9.988849176284768,-8.892619529768712,2.455572536300835,155
0.3839873313903809,0.056648871804896195,0.015724611282348634,0.008832243063097378,0.1,linear,20,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 20}",-12.394142291943009,-8.62900416190267,-6.0931217997309375,-6.247666971391581,-11.46156769629552,-8.965100584252742,2.597550517651509,156
0.7523614406585694,0.034203731313971024,0.01772465705871582,0.0034051521953650386,0.1,linear,50,"{'learning_rate': 0.1, 'loss': 'linear', 'n_estimators': 50}",-11.917797453744383,-8.548834339932592,-6.352225647657727,-5.9554254678445036,-10.017527451036022,-8.558362072043046,2.2386325001318985,132
