,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
636,-48.94679167,-16.32111,-86.0,378,294.32229082472594,286,13.05
631,-48.946745,-16.32097333,-87.5,378,302.9600413853611,289,12.18
633,-48.94668833,-16.32083667,-87.0,378,313.1861938619069,291,11.64
627,-48.94663333,-16.32070167,-86.0,378,323.6778402620627,294,10.87
635,-48.94656667,-16.32056,-88.0,378,336.0446173296538,296,10.4
634,-48.94651500000001,-16.32041667,-81.66666666666667,378,347.44181279678827,298,9.94
632,-48.94645833,-16.32027333,-83.0,378,359.7415601387035,300,9.51
630,-48.94640333,-16.32013167,-85.0,378,372.16420778372384,302,9.09
629,-48.94635,-16.319995000000002,-87.0,378,384.4847374275538,304,8.68
628,-48.94624333,-16.31973,-86.0,378,409.4306512604716,307,8.09
626,-48.94614167,-16.31948333,-91.0,378,433.6216631198722,309,7.69
691,-48.946045,-16.31924667,-93.0,408,457.32853785969303,311,7.3
692,-48.94589667,-16.31889,-91.0,409,494.1578684086156,314,6.67
693,-48.945745,-16.31853,-93.0,409,532.3506952671243,316,6.24
745,-48.94871833,-16.31689,-97.0,437,540.7501770912997,353,0.47
744,-48.94873833,-16.31687833,-94.0,437,541.7137832065353,353,0.47
743,-48.948745,-16.31687333,-98.0,437,542.1586768365198,353,0.47
697,-48.945695,-16.318405,-94.0,409,545.569150117567,317,6.01
768,-48.94819167,-16.31692833,-89.0,438,547.8371699480323,348,0.62
759,-48.94816167,-16.31684,-93.0,438,558.1032505728585,348,0.62
696,-48.94564667,-16.318279999999998,-97.0,409,558.737854725574,318,5.77
747,-48.948145,-16.31675833,-89.0,438,567.2991470061016,348,0.62
695,-48.94559833,-16.318154999999994,-92.0,409,571.9853234705467,318,5.77
694,-48.94555167,-16.31803667,-87.0,409,584.6618204536708,319,5.53
641,-48.95375,-16.318170000000002,-86.66666666666669,405,602.9079602239552,45,6.85
688,-48.95370667,-16.31812167,-85.0,406,602.9253945371103,44,6.62
642,-48.95379333,-16.31821833,-85.0,405,602.9735253437952,45,6.85
682,-48.95343333,-16.31784,-78.0,406,603.1129819576196,40,5.83
681,-48.95340167,-16.31780833,-78.0,406,603.2543175651352,39,5.66
643,-48.95384,-16.31826833,-82.0,405,603.2810294110941,46,7.1
690,-48.95366667,-16.31807333,-82.0,406,603.2909173967589,43,6.4
683,-48.95346833,-16.31786833,-78.0,406,603.5246964047393,40,5.83
686,-48.953625,-16.31802333,-80.66666666666667,406,603.727186024905,43,6.4
645,-48.95388833,-16.31831833,-82.0,405,603.8189355518676,47,7.37
689,-48.953505,-16.31789833,-80.0,406,603.9733810061373,41,6.01
685,-48.95358333,-16.31797667,-81.0,406,603.9929330609591,42,6.2
684,-48.95354333,-16.31793333,-82.0,406,604.2089330676247,41,6.01
644,-48.95397667,-16.318414999999998,-82.0,405,604.6920328529128,48,7.65
661,-48.95402,-16.31846333,-82.0,405,605.1824784004459,49,7.94
674,-48.95406167,-16.31850667,-73.0,405,605.9355761483397,50,8.25
687,-48.95323667,-16.31762333,-77.0,406,606.275634907776,37,5.36
675,-48.95409667,-16.318545,-73.0,405,606.4983039559033,50,8.25
680,-48.95412667,-16.318575,-73.0,405,607.203265670201,51,8.58
678,-48.95414667,-16.31859667,-73.0,405,607.5870402423385,51,8.58
673,-48.95415833,-16.31860833,-73.0,405,607.8795682717943,51,8.58
671,-48.95417,-16.31862167,-70.0,405,608.0732109742846,51,8.58
679,-48.95416833,-16.31861833,-70.0,405,608.134552277057,51,8.58
668,-48.95417667,-16.31863,-69.625,405,608.1426861687503,51,8.58
748,-48.94800667,-16.31641167,-94.0,438,608.1568803421641,347,0.64
663,-48.95417833,-16.31863167,-70.0,405,608.1854069116545,51,8.58
