,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
821,-51.8041,-30.8587,-101.1917808219178,464,1569.8610483882906,215,2.05
1108,-51.8061,-30.8573,-102.21875,523,1571.597490583211,224,0.85
1404,-51.7821,-30.8562,-102.8,568,1571.8113847762245,130,25.52
705,-51.7946,-30.8613,-87.50427350427348,410,1574.8919613389526,180,10.61
706,-51.7945,-30.8613,-86.55645161290323,410,1574.9767726233365,179,10.92
816,-51.8042,-30.8587,-105.1829268292683,464,1575.3611311510024,215,2.05
748,-51.8016,-30.86,-89.70731707317074,436,1575.7841660179708,204,4.21
1524,-51.8093,-30.8537,-95.0,611,1577.2142300745375,242,0.1
1111,-51.8062,-30.8573,-101.61428571428571,523,1578.2514281207527,224,0.85
1768,-51.8108,-30.8502,-91.5,700,1578.4199831512424,257,1.36
1405,-51.782,-30.8562,-103.67123287671231,568,1579.15526511248,130,25.52
1401,-51.7819,-30.8561,-104.53424657534245,568,1579.4924307952704,130,25.52
690,-51.7996,-30.8607,-93.47777777777776,407,1579.5970566484093,197,5.92
752,-51.8015,-30.8601,-93.9344262295082,436,1581.8979861623939,204,4.21
869,-51.7867,-30.8596,-88.25,475,1583.35954054969,151,18.47
1110,-51.8063,-30.8573,-98.96969696969695,523,1584.9351568886443,224,0.85
1523,-51.8094,-30.8537,-94.4761904761905,611,1585.6923062227686,242,0.1
703,-51.7947,-30.8614,-94.7283950617284,410,1585.951947144784,180,10.61
1407,-51.7818,-30.8561,-107.0,568,1586.9160834647573,129,25.99
688,-51.7995,-30.8608,-94.37037037037035,407,1587.3918934501612,197,5.92
1767,-51.8109,-30.8502,-96.34883720930232,700,1587.7565713150934,257,1.36
815,-51.8043,-30.8588,-103.6341463414634,464,1589.9356096125355,215,2.05
1765,-51.8109,-30.8503,-94.08108108108108,700,1590.1963250457698,257,1.36
744,-51.8015,-30.8602,-100.15384615384615,436,1592.0093870701378,204,4.21
1406,-51.7818,-30.8562,-108.05660377358492,568,1593.913721405656,130,25.52
1522,-51.8095,-30.8537,-93.0,611,1594.1826879427026,242,0.1
689,-51.7994,-30.8609,-97.90625,407,1595.2830504062258,196,6.2
819,-51.8044,-30.8588,-100.80597014925371,464,1595.48117124749,215,2.05
715,-51.7948,-30.8615,-96.05555555555556,410,1597.0695894645883,180,10.61
714,-51.7949,-30.8615,-94.3731343283582,410,1597.1578054375364,181,10.38
704,-51.795,-30.8615,-92.90140845070421,410,1597.3032938658328,181,10.38
751,-51.8014,-30.8603,-95.64516129032258,436,1598.2722130681368,203,4.45
1095,-51.8065,-30.8573,-99.91803278688525,522,1598.3904915728353,225,0.73
1764,-51.81100000000001,-30.8503,-97.41509433962266,700,1599.5213673405385,257,1.36
810,-51.8045,-30.8588,-100.27142857142857,464,1601.0646686702423,215,2.05
784,-51.7865,-30.8597,-84.0,445,1602.3478615088177,151,18.47
692,-51.7993,-30.861,-95.875,407,1603.2691051024499,196,6.2
750,-51.8013,-30.8604,-92.96969696969695,436,1604.6442220065614,203,4.45
1086,-51.8066,-30.8573,-103.03125,522,1605.16136085639,225,0.73
811,-51.8046,-30.8588,-98.22222222222223,464,1606.685706382308,216,1.89
1521,-51.8096,-30.8538,-96.33333333333331,610,1607.780342634043,242,0.1
1409,-51.7817,-30.8563,-106.19852941176471,569,1608.338997267786,130,25.52
708,-51.795,-30.8616,-92.24390243902441,410,1608.3881778938162,181,10.38
702,-51.7951,-30.8616,-88.8515625,410,1608.5895257922964,181,10.38
1773,-51.8111,-30.8503,-97.1304347826087,700,1608.8492326720689,257,1.36
745,-51.8012,-30.8605,-91.16666666666669,436,1611.124118256184,202,4.66
